2016-04-30-12:40,62.83
2016-04-30-12:45,62.83
2016-04-30-12:50,62.83
2016-04-30-12:55,62.83
2016-04-30-13:00,62.83
2016-04-30-13:05,62.83
2016-04-30-13:10,62.83
2016-04-30-13:15,62.83
2016-04-30-13:20,62.71
2016-04-30-13:25,62.83
2016-04-30-13:30,62.71
2016-04-30-13:35,62.71
2016-04-30-13:40,62.83
2016-04-30-13:45,62.71
2016-04-30-13:50,62.71
2016-04-30-13:55,62.71
2016-04-30-14:00,62.71
2016-04-30-14:05,62.71
2016-04-30-14:10,62.71
2016-04-30-14:15,62.71
2016-04-30-14:20,62.71
2016-04-30-14:25,62.71
2016-04-30-14:30,62.71
2016-04-30-14:35,62.71
2016-04-30-14:40,62.60
2016-04-30-14:45,62.71
2016-04-30-14:50,62.60
2016-04-30-14:55,62.71
2016-04-30-15:00,62.60
2016-04-30-15:05,62.60
2016-04-30-15:10,62.71
2016-04-30-15:15,62.60
2016-04-30-15:20,62.60
2016-04-30-15:25,62.60
2016-04-30-15:30,62.60
2016-04-30-15:35,62.60
2016-04-30-15:40,62.60
2016-04-30-15:45,62.60
2016-04-30-15:50,62.60
2016-04-30-15:55,62.60
2016-04-30-16:00,62.60
2016-04-30-16:05,62.60
2016-04-30-16:10,62.60
2016-04-30-16:15,62.60
2016-04-30-16:20,62.60
2016-04-30-16:25,62.60
2016-04-30-16:30,62.49
2016-04-30-16:35,62.60
2016-04-30-16:40,62.49
2016-04-30-16:45,62.49
2016-04-30-16:50,62.49
2016-04-30-16:55,62.49
2016-04-30-17:00,62.49
2016-04-30-17:05,62.49
2016-04-30-17:10,62.49
2016-04-30-17:15,62.49
2016-04-30-17:20,62.49
2016-04-30-17:25,62.49
2016-04-30-17:30,62.49
2016-04-30-17:35,62.49
2016-04-30-17:40,62.49
2016-04-30-17:45,62.49
2016-04-30-17:50,62.49
2016-04-30-17:55,62.49
2016-04-30-18:00,62.49
2016-04-30-18:05,62.49
2016-04-30-18:10,62.49
2016-04-30-18:15,62.49
2016-04-30-18:20,62.49
2016-04-30-18:25,62.60
2016-04-30-18:30,62.49
2016-04-30-18:35,62.49
2016-04-30-18:40,62.49
2016-04-30-18:45,62.49
2016-04-30-18:50,62.49
2016-04-30-18:55,62.49
2016-04-30-19:00,62.49
2016-04-30-19:05,62.49
2016-04-30-19:10,62.49
2016-04-30-19:15,62.49
2016-04-30-19:20,62.49
2016-04-30-19:25,62.49
2016-04-30-19:30,62.49
2016-04-30-19:35,62.49
2016-04-30-19:40,62.49
2016-04-30-19:45,62.49
2016-04-30-19:50,62.49
2016-04-30-19:55,62.49
2016-04-30-20:00,62.38
2016-04-30-20:05,62.49
2016-04-30-20:10,62.38
2016-04-30-20:15,62.49
2016-04-30-20:20,62.49
2016-04-30-20:25,62.38
2016-04-30-20:30,62.38
2016-04-30-20:35,62.38
2016-04-30-20:40,62.38
2016-04-30-20:45,62.38
2016-04-30-20:50,62.38
2016-04-30-20:55,62.38
2016-04-30-21:00,62.38
2016-04-30-21:05,62.38
2016-04-30-21:10,62.38
2016-04-30-21:15,62.38
2016-04-30-21:20,62.38
2016-04-30-21:25,62.38
2016-04-30-21:30,62.38
2016-04-30-21:35,62.38
2016-04-30-21:40,62.38
2016-04-30-21:45,62.38
2016-04-30-21:50,62.38
2016-04-30-21:55,62.38
2016-04-30-22:00,62.38
2016-04-30-22:05,62.38
2016-04-30-22:10,62.38
2016-04-30-22:15,62.38
2016-04-30-22:20,62.38
2016-04-30-22:25,62.38
2016-04-30-22:30,62.38
2016-04-30-22:35,62.38
2016-04-30-22:40,62.38
2016-04-30-22:45,62.38
2016-04-30-22:50,62.38
2016-04-30-22:55,62.38
2016-04-30-23:00,62.26
2016-04-30-23:05,62.26
2016-04-30-23:10,62.26
2016-04-30-23:15,62.38
2016-04-30-23:20,62.38
2016-04-30-23:25,62.26
2016-04-30-23:30,62.26
2016-04-30-23:35,62.38
2016-04-30-23:40,62.26
2016-04-30-23:45,62.26
2016-04-30-23:50,62.26
2016-04-30-23:55,62.26
2016-05-01-00:00,62.26
2016-05-01-00:05,62.26
2016-05-01-00:10,62.26
2016-05-01-00:15,62.26
2016-05-01-00:20,62.26
2016-05-01-00:25,62.26
2016-05-01-00:30,62.26
2016-05-01-00:35,62.26
2016-05-01-00:40,62.26
2016-05-01-00:45,62.26
2016-05-01-00:50,62.26
2016-05-01-00:55,62.26
2016-05-01-01:00,62.26
2016-05-01-01:05,62.26
2016-05-01-01:10,62.26
2016-05-01-01:15,62.26
2016-05-01-01:20,62.26
2016-05-01-01:25,62.26
2016-05-01-01:30,62.26
2016-05-01-01:35,62.15
2016-05-01-01:40,62.15
2016-05-01-01:45,62.26
2016-05-01-01:50,62.15
2016-05-01-01:55,62.15
2016-05-01-02:00,62.15
2016-05-01-02:05,62.15
2016-05-01-02:10,62.15
2016-05-01-02:15,62.15
2016-05-01-02:20,62.15
2016-05-01-02:25,62.15
2016-05-01-02:30,62.15
2016-05-01-02:35,62.15
2016-05-01-02:40,62.15
2016-05-01-02:45,62.15
2016-05-01-02:50,62.15
2016-05-01-02:55,62.15
2016-05-01-03:00,62.15
2016-05-01-03:05,62.15
2016-05-01-03:10,62.15
2016-05-01-03:15,62.15
2016-05-01-03:20,62.15
2016-05-01-03:25,62.04
2016-05-01-03:30,62.04
2016-05-01-03:35,62.04
2016-05-01-03:40,62.04
2016-05-01-03:45,62.04
2016-05-01-03:50,62.04
2016-05-01-03:55,62.04
2016-05-01-04:00,62.04
2016-05-01-04:05,62.04
2016-05-01-04:10,62.04
2016-05-01-04:15,61.92
2016-05-01-04:20,61.92
2016-05-01-04:25,61.92
2016-05-01-04:30,61.92
2016-05-01-04:35,61.92
2016-05-01-04:40,61.92
2016-05-01-04:45,61.92
2016-05-01-04:50,61.81
2016-05-01-04:55,61.81
2016-05-01-05:00,61.81
2016-05-01-05:05,61.81
2016-05-01-05:10,61.81
2016-05-01-05:15,61.81
2016-05-01-05:20,61.81
2016-05-01-05:25,61.81
2016-05-01-05:30,61.81
2016-05-01-05:35,61.81
2016-05-01-05:40,61.81
2016-05-01-05:45,61.70
2016-05-01-05:50,61.70
2016-05-01-05:55,61.70
2016-05-01-06:00,61.70
2016-05-01-06:05,61.70
2016-05-01-06:10,61.70
2016-05-01-06:15,61.70
2016-05-01-06:20,61.70
2016-05-01-06:25,61.70
2016-05-01-06:30,61.70
2016-05-01-06:35,61.70
2016-05-01-06:40,61.70
2016-05-01-06:45,61.70
2016-05-01-06:50,61.81
2016-05-01-06:55,61.81
2016-05-01-07:00,61.81
2016-05-01-07:05,61.81
2016-05-01-07:10,61.81
2016-05-01-07:15,61.92
2016-05-01-07:20,61.92
2016-05-01-07:25,61.81
2016-05-01-07:30,61.81
2016-05-01-07:35,61.81
2016-05-01-07:40,61.81
2016-05-01-07:45,61.81
2016-05-01-07:50,61.81
2016-05-01-07:55,61.81
2016-05-01-08:00,61.92
2016-05-01-08:05,61.92
2016-05-01-08:10,61.92
2016-05-01-08:15,61.92
2016-05-01-08:20,61.92
2016-05-01-08:25,61.92
2016-05-01-08:30,61.92
2016-05-01-08:35,61.92
2016-05-01-08:40,61.92
2016-05-01-08:45,61.92
2016-05-01-08:50,61.92
2016-05-01-08:55,61.92
2016-05-01-09:00,61.92
2016-05-01-09:05,61.92
2016-05-01-09:10,62.04
2016-05-01-09:15,61.92
2016-05-01-09:20,61.81
2016-05-01-09:25,61.81
2016-05-01-09:30,61.81
2016-05-01-09:35,61.81
2016-05-01-09:40,61.81
2016-05-01-09:45,61.81
2016-05-01-09:50,61.81
2016-05-01-09:55,61.81
2016-05-01-10:00,61.81
2016-05-01-10:05,61.81
2016-05-01-10:10,61.81
2016-05-01-10:15,61.81
2016-05-01-10:20,61.81
2016-05-01-10:25,61.81
2016-05-01-10:30,61.81
2016-05-01-10:35,61.81
2016-05-01-10:40,61.81
2016-05-01-10:45,61.81
2016-05-01-10:50,61.81
2016-05-01-10:55,61.81
2016-05-01-11:00,61.81
2016-05-01-11:05,61.92
2016-05-01-11:10,61.92
2016-05-01-11:15,61.92
2016-05-01-11:20,61.81
2016-05-01-11:25,61.92
2016-05-01-11:30,61.92
2016-05-01-11:35,61.92
2016-05-01-11:40,61.92
2016-05-01-11:45,61.81
2016-05-01-11:50,61.92
2016-05-01-11:55,61.92
2016-05-01-12:00,61.92
2016-05-01-12:05,61.92
2016-05-01-12:10,61.92
2016-05-01-12:15,61.92
2016-05-01-12:20,61.92
2016-05-01-12:25,61.92
2016-05-01-12:30,61.92
2016-05-01-12:35,61.92
2016-05-01-12:40,61.92
2016-05-01-12:45,61.92
2016-05-01-12:50,61.92
2016-05-01-12:55,61.92
2016-05-01-13:00,61.92
2016-05-01-13:05,61.92
2016-05-01-13:10,61.92
2016-05-01-13:15,61.92
2016-05-01-13:20,61.92
2016-05-01-13:25,62.04
2016-05-01-13:30,62.04
2016-05-01-13:35,62.04
2016-05-01-13:40,62.04
2016-05-01-13:45,62.04
2016-05-01-13:50,62.04
2016-05-01-13:55,62.04
2016-05-01-14:00,62.04
2016-05-01-14:05,62.04
2016-05-01-14:10,62.15
2016-05-01-14:15,62.38
2016-05-01-14:20,62.15
2016-05-01-14:25,62.15
2016-05-01-14:30,62.04
2016-05-01-14:35,62.15
2016-05-01-14:40,62.15
2016-05-01-14:45,62.15
2016-05-01-14:50,62.15
2016-05-01-14:55,62.15
2016-05-01-15:00,62.15
2016-05-01-15:05,62.15
2016-05-01-15:10,62.15
2016-05-01-15:15,62.15
2016-05-01-15:20,62.15
2016-05-01-15:25,62.15
2016-05-01-15:30,62.15
2016-05-01-15:35,62.15
2016-05-01-15:40,62.15
2016-05-01-15:45,62.15
2016-05-01-15:50,62.15
2016-05-01-15:55,62.15
2016-05-01-16:00,62.15
2016-05-01-16:05,62.15
2016-05-01-16:10,62.26
2016-05-01-16:15,62.26
2016-05-01-16:20,62.26
2016-05-01-16:25,62.26
2016-05-01-16:30,62.26
2016-05-01-16:35,62.26
2016-05-01-16:40,62.26
2016-05-01-16:45,62.26
2016-05-01-16:50,62.26
2016-05-01-16:55,62.26
2016-05-01-17:00,62.26
2016-05-01-17:05,62.26
2016-05-01-17:10,62.26
2016-05-01-17:15,62.26
2016-05-01-17:20,62.26
2016-05-01-17:25,62.26
